Business Name,Category,Neighborhood,Phone,Address,Has Own Website?,Status (HOT/WARM/SKIP),Mockup Built?,Contacted On,Method,Follow-up Date,Notes
Top Notch Barber Shop,Barber,New Springville/10312,(718) 701-6649,3944 Richmond Ave,No (verify),PITCHED,Yes - LIVE: topnotchbarbershop.netlify.app,2026-05-30,IG DM,2026-06-02,Deployed + pitched via IG @topnotchbarbersh0p; ~4.7 stars
M & M Deli & Bagels,Deli,Annadale,(718) 966-6826,849 Annadale Rd,No (verify),HOT,Yes (mockups/mm-deli-bagels),,,,Hours not confirmed; only on Yelp/Restaurantji
Eltingville Nail Salon,Nail Salon,Eltingville,(718) 966-1688,4328 Amboy Rd,No (verify),HOT,Yes (mockups/eltingville-nail-salon),,,,Mon-Sat 9:30-7 Sun 10-6; only on Yelp/Nextdoor
Creative Nail & Spa,Nail Salon,Annadale,(718) 227-8808,855 Annadale Rd,No (verify),HOT,No,,,,On Fresha/Yelp/Wheree; "Maggie Creative Nail & Spa"
Mona Lisa Pizzeria,Pizzeria,Annadale,(718) 967-1000,839 Annadale Rd,Yes (monalisapizzeriasi.com),WARM,No,,,,Has site; only pitch a redesign if dated
The Square on Annadale,Pizzeria,Annadale,(718) 967-9999,833 Annadale Rd,Yes (thesquarepizza.com),SKIP,No,,,,Has good site
The Pizza Parlor,Pizzeria,Annadale,,6 Sneden Ave,Yes (pizzaparlornyc.com),SKIP,No,,,,Has good site
Annadale Terrace,Restaurant,Annadale,(718) 967-5900,801 Annadale Rd,Yes (annadaleterrace.com),SKIP,No,,,,Has site
Diesel Bagel & Deli,Deli,Annadale,(718) 554-4710,878 Annadale Rd,n/a,SKIP,No,,,,Listed CLOSED on Yelp - do not contact
Annadale Bakery,Bakery,Annadale,(347) 662-0913,821 Annadale Rd or 120 Poillon Ave (verify),No,PITCHED,Yes - LIVE: annadalebakery.netlify.app,2026-05-30,IG DM,2026-06-02,Deployed + pitched via IG @annadalebakery; confirm exact address before custom domain
A Very Chic Boutique,Women's Boutique,Annadale,(718) 948-0389,880 Annadale Rd,No,PITCHED,Yes - LIVE: a-very-chic-boutique.netlify.app,2026-05-30,IG DM,2026-06-02,Deployed + pitched via IG @averychicboutique; ships; storefront-teaser site
Maria Alterations & Tailoring,Tailor/Alterations,Staten Island (verify),,(verify),No,HOT,Yes (mockups/maria-alterations),,,,REMOTE: IG @mariaalterationsnconcierges; 44 yrs; bridal/couture; phone/addr TBC
Cookies N Cream,Dessert Shop,Tottenville,,(verify),No,HOT,Yes (mockups/cookies-n-cream),,,,REMOTE: IG @cookiesncream.sitottenville; cookies/ice cream/coffee; phone/addr TBC
Regina Annadale Meat Market,Butcher/Meat Market,Annadale,(718) 984-1337,881 Annadale Rd,No,HOT,Yes (mockups/regina-meat-market),,,,REMOTE: IG @reginaannadalemeatmarket + FB; family since 1988; hrs Mon-Sat 8:30-5:30 Sun 8:30-1:30
Beyond the Sea,Seafood Market,SI (10304),(347) 466-4555,84 Canal St,Yes (beyondtheseafood.com),SKIP,No,,,,Has site; market location listed CLOSED; not South Shore
The Original Giuseppe's Pizza,Pizzeria,Eltingville,(718) 227-8332,4300 Amboy Rd,Yes (giuseppespizzasi.com),SKIP,No,,,,Has site - redesign-only
Freddie's Pork Store & Salumeria,Butcher/Deli,Eltingville,(718) 967-3049,3830 Richmond Ave,Yes (freddiesgourmet.com),SKIP,No,,,,Has site - redesign-only
Picture PAWfect Grooming,Pet Grooming,Great Kills,(929) 607-3754,4131 Hylan Blvd,Yes (Wix - dated),REDESIGN,No,,,email,Email picturepawfectgroom@gmail.com; see redesign-targets.csv - cold-email a rebuild
Forever Yours Florist of Annadale,Florist,Annadale,(718) 605-4912,880 Annadale Rd,n/a,SKIP,No,,,,Listed CLOSED Nov 2025 - do not contact
CaptainBFit Personal Training,Personal Trainer,South Shore,,,Yes (captainbfit.com),SKIP,No,,,,Has site - Brian Magurno; not a no-site lead
,,,,,,,,,,,
,,,,,,,,,,,
