Business Name,Category,Neighborhood,Phone,Address,Has Own Website?,Status (HOT/WARM/SKIP),Mockup Built?,Contacted On,Method,Follow-up Date,Notes
Top Notch Barber Shop,Barber,New Springville/10312,(718) 701-6649,3944 Richmond Ave,No (verify),HOT,Yes (mockups/top-notch-barber),,,,~4.7 stars; only on Yelp/Fresha
M & M Deli & Bagels,Deli,Annadale,(718) 966-6826,849 Annadale Rd,No (verify),HOT,Yes (mockups/mm-deli-bagels),,,,Hours not confirmed; only on Yelp/Restaurantji
Eltingville Nail Salon,Nail Salon,Eltingville,(718) 966-1688,4328 Amboy Rd,No (verify),HOT,Yes (mockups/eltingville-nail-salon),,,,Mon-Sat 9:30-7 Sun 10-6; only on Yelp/Nextdoor
Creative Nail & Spa,Nail Salon,Annadale,(718) 227-8808,855 Annadale Rd,No (verify),HOT,No,,,,On Fresha/Yelp/Wheree; "Maggie Creative Nail & Spa"
Mona Lisa Pizzeria,Pizzeria,Annadale,(718) 967-1000,839 Annadale Rd,Yes (monalisapizzeriasi.com),WARM,No,,,,Has site; only pitch a redesign if dated
The Square on Annadale,Pizzeria,Annadale,(718) 967-9999,833 Annadale Rd,Yes (thesquarepizza.com),SKIP,No,,,,Has good site
The Pizza Parlor,Pizzeria,Annadale,,6 Sneden Ave,Yes (pizzaparlornyc.com),SKIP,No,,,,Has good site
Annadale Terrace,Restaurant,Annadale,(718) 967-5900,801 Annadale Rd,Yes (annadaleterrace.com),SKIP,No,,,,Has site
Diesel Bagel & Deli,Deli,Annadale,(718) 554-4710,878 Annadale Rd,n/a,SKIP,No,,,,Listed CLOSED on Yelp - do not contact
Annadale Bakery,Bakery,Annadale,,120 Poillon Ave,No,HOT,No,,,,REMOTE: very active IG @annadalebakery + FB; Italian pastries/cakes
A Very Chic Boutique,Women's Boutique,Annadale,(718) 948-0389,880 Annadale Rd,No,HOT,No,,,,REMOTE: IG @averychicboutique + FB; offers shipping - good ecommerce fit
Picture PAWfect Grooming,Pet Grooming,Great Kills/Eltingville,(929) 607-3754,4131 Hylan Blvd,No,HOT,No,,,,REMOTE: IG @picturepawfectgrooming_; cageless dog grooming
Forever Yours Florist of Annadale,Florist,Annadale,(718) 605-4912,880 Annadale Rd,No,HOT,No,,,,REMOTE: Facebook page; only FB + directories
CaptainBFit Personal Training,Personal Trainer,South Shore,,,No,WARM,No,,,,REMOTE: IG @captainbfit; M.S. Exercise Science; solo trainer
,,,,,,,,,,,
,,,,,,,,,,,
